STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,7/30/1998,72,",,U",85,"H,,U",59,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,7/31/1998,71,",,U",88,"H,,U",55,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/1/1998,76,",,U",94,"H,,U",59,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/2/1998,80,",,U",99,"H,,U",61,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/3/1998,85,",,U",102,"H,,U",68,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/4/1998,85,",,U",102,"H,,U",69,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/5/1998,78,",,U",94,"H,,U",66,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/6/1998,78,",,U",92,"H,,U",66,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/7/1998,77,",,U",91,"H,,U",64,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/8/1998,82,",,U",101,"H,,U",66,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/9/1998,85,",,U",99,"H,,U",69,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/10/1998,79,",,U",91,"H,,U",70,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/11/1998,80,",,U",96,"H,,U",68,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/12/1998,82,",,U",99,"H,,U",69,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/13/1998,82,",,U",96,"H,,U",69,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/14/1998,81,",,U",99,"H,,U",69,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/15/1998,76,",,U",88,"H,,U",63,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/16/1998,72,",,U",88,"H,,U",60,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/17/1998,69,",,U",84,"H,,U",59,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/18/1998,68,",,U",86,"H,,U",56,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/19/1998,71,",,U",87,"H,,U",58,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/20/1998,73,",,U",90,"H,,U",58,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/21/1998,79,",,U",97,"H,,U",62,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/22/1998,83,",,U",100,"H,,U",66,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/23/1998,85,",,U",101,"H,,U",72,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/24/1998,79,",,U",93,"H,,U",66,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/25/1998,75,",,U",90,"H,,U",63,"H,,U"
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",34.1369,-117.7069,501.4,8/26/1998,74,",,U",90,"H,,U",59,"H,,U"
